"source_transaction_id","coverage_code","limits","deductable","per_occurance","premium","created_date"
"472011446_256240103","17",300000,,100000,150.00,
"472011447_256240117","17",300000,,100000,150.00,
"472011448_256240120","17",300000,,100000,150.00,
"472011449_256240134","17",300000,,100000,150.00,
"472011452_256240148","17",300000,,100000,150.00,
"472011453_256240151","17",300000,,100000,150.00,
"472011455_256240179","17",300000,,100000,150.00,
"472011457_256240196","17",300000,,100000,150.00,
"472011458_0","17",300000,,100000,150.00,
"472011459_256240201","17",300000,,100000,150.00,
"472011461_256240229","17",300000,,100000,150.00,
"472011464_256240246","17",300000,,100000,150.00,
"472011465_256240263","17",300000,,100000,150.00,
"472011470_0","17",300000,,100000,150.00,
"472011475_256240330","17",300000,,100000,150.00,
"472011481_256240344","17",300000,,100000,150.00,
"472011486_256240389","17",300000,,100000,150.00,
"472011489_256240411","17",300000,,100000,150.00,
"472011490_256240425","17",300000,,100000,150.00,
"472011494_256240473","17",300000,,100000,150.00,
"472011505_256240540","17",1000000,,1000000,150.00,
"472011506_256240554","17",1000000,,1000000,150.00,
"472011507_0","17",1000000,,1000000,150.00,
"472011508_256240568","17",1000000,,1000000,150.00,
"472011509_256240571","17",1000000,,1000000,150.00,
"472011510_256240585","10",1000000,,1000000,150.00,
"472011511_0","17",1000000,,1000000,150.00,
"472011515_256240618","17",300000,,100000,150.00,
"472011516_0","17",300000,,100000,150.00,
"472011517_256240621","17",300000,,100000,150.00,
"472011527_256240666","17",300000,,100000,150.00,
"472011528_256240683","17",300000,,100000,150.00,
"472011537_256240697","17",300000,,100000,150.00,
"472011539_256240716","17",300000,,100000,150.00,
"472011541_256240733","17",300000,,100000,150.00,
"472011548_256240764","17",300000,,100000,150.00,
"472011719_256241543","17",300000,,100000,150.00,
"472011720_256241557","17",300000,,100000,150.00,
"472011721_256241560","17",300000,,100000,150.00,
"472011787_256241574","17",300000,,100000,150.00,
"472011893_256241588","17",300000,,100000,150.00,
"472011894_256241591","17",300000,,100000,150.00,
"472011898_0","17",300000,,100000,150.00,
"472011900_256241624","17",300000,,100000,150.00,
"472011902_256241641","17",300000,,100000,150.00,
"472011959_0","17",300000,,100000,150.00,
"472011960_256241753","17",300000,,100000,150.00,
"472011985_0","08",300000,,100000,150.00,
"472011986_256241994","02",300000,,100000,150.00,
"472011987_256242000","02",300000,,100000,150.00,
"472012100_0","17",300000,,100000,150.00,
"472012101_256242269","17",300000,,100000,150.00,
"472012102_256242272","17",1000000,,1000000,150.00,
"472012104_256242319","17",1000000,,1000000,150.00,
"472012105_256242322","17",3000000,,1000000,182.00,
"472012106_256242336","10",300000,,100000,150.00,
"472012107_256242353","17",300000,,100000,150.00,
"472012109_256242370","10",300000,,100000,150.00,
"472012110_256242384","17",300000,,100000,150.00,
"472012143_256242451","17",1000000,,1000000,150.00,
"472012144_256242465","17",1000000,,1000000,150.00,
"472012145_256242479","17",1000000,,1000000,150.00,
"472012146_256242482","17",1000000,,1000000,150.00,
"472012147_256242496","17",1000000,,1000000,150.00,
"472012148_256242501","17",1000000,,1000000,150.00,
"472012149_256242532","17",1000000,,1000000,150.00,
"472012151_256242563","10",1000000,,1000000,150.00,
"472012152_256242577","10",1000000,,1000000,150.00,
"472012153_256242529","17",1000000,,1000000,150.00,
"472012154_256242580","17",1000000,,1000000,150.00,
"472012155_256242594","17",1000000,,1000000,150.00,
"472012156_0","17",1000000,,1000000,150.00,
"472012157_256242613","17",1000000,,1000000,150.00,
"472012159_256242627","17",1000000,,1000000,150.00,
